acc	evalue	score
QEC60722.1	1.2e-151	518.2
QED08439.1	1.2e-151	518.2
AGH37638.1	2.1e-151	517.4
AJE07157.1	3.5e-151	516.6
VEI75054.1	1.1e-150	515.0
AHG85630.1	1.5e-150	514.5
AHG78448.1	3e-150	513.6
AHG72370.1	5e-150	512.9
AGI31528.1	1.7e-149	511.1
AGI36363.1	1.7e-149	511.1
AGK00831.1	1.7e-149	511.1
AGQ26118.1	1.7e-149	511.1
AGQ41226.1	1.7e-149	511.1
AGR76159.1	1.7e-149	511.1
AKA10391.1	1.7e-149	511.1
AKA12998.1	1.7e-149	511.1
ASW35303.1	1.7e-149	511.1
ASW65120.1	1.7e-149	511.1
ASW67716.1	1.7e-149	511.1
ASW70391.1	1.7e-149	511.1
AWW64904.1	1.7e-149	511.1
AWW65638.1	1.7e-149	511.1
AWW68044.1	1.7e-149	511.1
AWW70487.1	1.7e-149	511.1
QEA74525.1	1.7e-149	511.1
QEA77164.1	1.7e-149	511.1
QEA79811.1	1.7e-149	511.1
QEA82382.1	1.7e-149	511.1
QEA85079.1	1.7e-149	511.1
QEA90279.1	1.7e-149	511.1
QEA95421.1	1.7e-149	511.1
QEA98024.1	1.7e-149	511.1
QEB00670.1	1.7e-149	511.1
QEB03288.1	1.7e-149	511.1
QEB05767.1	1.7e-149	511.1
QEB09688.1	1.7e-149	511.1
QEB13739.1	1.7e-149	511.1
QEB16361.1	1.7e-149	511.1
QEB18938.1	1.7e-149	511.1
QEB21671.1	1.7e-149	511.1
QEB24186.1	1.7e-149	511.1
QEB26885.1	1.7e-149	511.1
QEB28449.1	1.7e-149	511.1
QEB31929.1	1.7e-149	511.1
QEB34475.1	1.7e-149	511.1
QEB37051.1	1.7e-149	511.1
QEB39670.1	1.7e-149	511.1
QEB47102.1	1.7e-149	511.1
QEB49617.1	1.7e-149	511.1
QEB54697.1	1.7e-149	511.1
QEB57313.1	1.7e-149	511.1
QEB59897.1	1.7e-149	511.1
QEB91300.1	1.7e-149	511.1
QEB93921.1	1.7e-149	511.1
QEB96512.1	1.7e-149	511.1
QEC03757.1	1.7e-149	511.1
QEC27790.1	1.7e-149	511.1
QNS15825.1	1.8e-149	511.1
QEB08080.1	2.6e-149	510.5
AHG76455.1	3.3e-149	510.2
QLD34213.1	4.8e-149	509.6
QLB17071.1	9.5e-149	508.6
AWW33574.1	1.2e-147	505.0
QLB20957.1	1.2e-147	505.0
VEA71193.1	2e-147	504.3
AHG78804.1	9.4e-147	502.1
QIM63804.1	2.5e-146	500.6
AHG84887.1	9.4e-146	498.8
QIM64580.1	8.1e-145	495.7
SQE30090.1	1.6e-144	494.7
QIW15072.1	5.1e-144	493.1
AUI67023.1	5.4e-143	489.7
VTP82664.1	4.9e-138	473.3
SQI98916.1	9.2e-137	469.1
VEI47938.1	2.1e-135	464.6
SQI29363.1	1.1e-131	452.4
VEA79780.1	1.1e-117	406.2
VEB27119.1	4.9e-116	400.8
VEB91677.1	9e-116	399.9
VDR30564.1	2e-114	395.5
VTP80491.1	4.9e-109	377.7
VEA89388.1	3.5e-105	365.1
AXC25057.1	8.9e-93	324.2
ATX35196.1	9e-93	324.2
AVN00818.1	9e-93	324.2
AYQ00562.1	9e-93	324.2
QAS85030.1	9e-93	324.2
QCT12905.1	9e-93	324.2
QDA49843.1	9e-93	324.2
QHW73817.1	9e-93	324.2
QHW92107.1	9e-93	324.2
QJC45201.1	9e-93	324.2
BAV90511.1	9e-93	324.2
QCT13182.1	1.1e-92	323.8
ASQ77671.1	1.4e-92	323.5
AWF29063.1	1.4e-92	323.5
QHR93285.1	1.4e-92	323.5
QMI67542.1	1.4e-92	323.5
QMI69278.1	1.4e-92	323.5
QOX71280.1	1.4e-92	323.5
SMF77172.1	1.4e-92	323.5
UGO47193.1	1.1e-91	320.5
QHW73534.1	5.7e-91	318.2
VEB91675.1	1e-84	297.6
BCZ53183.1	1.6e-83	293.7
BCZ62810.1	1.6e-83	293.7
VTO16446.1	1.4e-79	280.7
QLE80438.1	4.7e-77	272.3
QLE88381.1	4.7e-77	272.3
VTO16449.1	7.1e-72	255.3
BCN19969.1	1.7e-70	250.7
AJB82502.1	3.3e-68	243.2
ATW92396.1	3.3e-68	243.2
AVO84465.1	3.3e-68	243.2
QFH55723.1	3.3e-68	243.2
QOD33630.1	3.3e-68	243.2
QPD64814.1	3.3e-68	243.2
QQA65785.1	3.3e-68	243.2
VDR30565.1	1.4e-66	237.9
AXQ33430.1	5.4e-63	226.0
QGR13435.1	5.4e-63	226.0
QSS33628.1	5.4e-63	226.0
BCQ24512.1	1.4e-62	224.7
VTP82660.1	3.6e-62	223.3
SQI98915.1	5e-62	222.8
SQI28169.1	7.8e-62	222.2
VEA79779.1	1.4e-60	218.1
SQI28168.1	9e-53	192.3
VEA89390.1	2.1e-52	191.1
UQQ18320.1	2.4e-34	131.6
VTP80487.1	1.5e-33	129.0
VEA71194.1	7.2e-32	123.4
SQI29367.1	3.2e-31	121.3
VTO16452.1	1.4e-30	119.2
SQI29365.1	1.4e-28	112.6
AIA93291.1	5.4e-26	104.1
VEB27118.1	2.2e-23	95.5
UQQ18319.1	1.1e-14	66.8
VEB03102.1	4.1e-12	58.3
SQI28167.1	4.8e-12	58.1
VDY91556.1	5.7e-09	48.0
AXX91795.1	3.6e-06	38.7
ANV84738.1	6.5e-06	37.9
VEA79781.1	2.2e-05	36.1
ALN93572.1	8.1e-05	34.3
UJB19770.1	8.1e-05	34.3
UJQ26504.1	8.1e-05	34.3
UNP29013.1	8.1e-05	34.3
AFZ59154.1	0.00013	33.6
BAU94755.1	0.00018	33.1
ADI66056.1	0.00031	32.3
QUU03161.1	0.00078	31.0
AZI25161.1	0.00088	30.9
AFY72513.1	0.00091	30.8
APZ79158.1	0.00092	30.8
APZ79265.1	0.00092	30.8
UKO94022.1	0.0013	30.3
ACK61283.1	0.0053	28.3
QAV20304.1	0.0092	27.5
QJC51114.1	0.012	27.2
ASW54501.1	0.015	26.8
BAT55532.1	0.017	26.6
QBR93391.1	0.021	26.4
ABQ27345.1	0.026	26.0
QOV23346.1	0.035	25.6
CZQ24997.1	0.045	25.2
AFY47756.1	0.052	25.0
ACV06875.1	0.054	25.0
QQB62891.1	0.054	25.0
ATI82934.1	0.059	24.8
AWX76399.1	0.06	24.8
QFY21939.1	0.06	24.8
QOV61044.1	0.06	24.8
QPV84467.1	0.06	24.8
QDV44200.1	0.064	24.7
ADU72286.1	0.067	24.7
QTI70545.1	0.083	24.4
QXN48546.1	0.084	24.3
QOV84991.1	0.092	24.2
QEG34697.1	0.23	22.9
QHS51945.1	0.31	22.5
QHF67826.1	0.37	22.2
QHF74234.1	0.37	22.2
QJG28467.1	0.37	22.2
UMU42150.1	0.37	22.2
BBU62380.1	0.53	21.7
AKC75184.1	0.54	21.7
QNI37776.1	0.54	21.7
ABL83711.1	0.83	21.1
QFT80737.1	0.87	21.0
QMV18440.1	0.95	20.9
AYQ34207.1	0.95	20.9
UNT61965.1	0.99	20.8
UJR38761.1	0.99	20.8
ARB76796.1	1.3	20.4
ARJ17837.1	1.3	20.4
QEX30005.1	1.3	20.4
QEX32993.1	1.3	20.4
SQE70726.1	1.3	20.4
SQI89050.1	1.3	20.4
AEI47347.1	1.4	20.4
ARJ26400.1	1.4	20.3
UHQ23372.1	1.5	20.2
AQS92831.1	1.6	20.1
AEP30150.1	1.7	20.1
ADC86481.1	1.9	19.9
AMG64134.1	1.9	19.9
ARJ08225.1	1.9	19.9
ARJ15318.1	1.9	19.9
ARJ28702.1	1.9	19.9
CCB52747.1	1.9	19.9
QEX27186.1	1.9	19.9
QEX30242.1	1.9	19.9
QEX36767.1	1.9	19.9
QEX37751.1	1.9	19.9
QQR09480.1	2.2	19.7
AXE18724.1	2.2	19.7
QIN77690.1	2.3	19.6
QNP93309.1	2.4	19.5
AOG60997.1	2.5	19.5
QEE30913.1	2.8	19.3
QHN04150.1	2.8	19.3
BAL99101.1	3.2	19.1
QQA41552.1	3.3	19.1
ARV14684.1	3.3	19.1
ADP80283.1	3.4	19.0
QNR20166.1	3.4	19.0
AMY23427.1	3.6	19.0
ADQ03857.1	4.1	18.8
QKJ29725.1	4.3	18.7
ADQ39912.1	4.9	18.5
AEM74574.1	4.9	18.5
QHC05482.1	4.9	18.5
ADL41709.1	5.0	18.5
ABX74004.1	5.4	18.4
AZZ99572.1	5.6	18.3
AGH44278.1	5.6	18.3
QPA30764.1	5.6	18.3
AMQ54855.1	5.9	18.3
ANB56992.1	6.0	18.2
ANB62875.1	6.0	18.2
BBL80333.1	6.0	18.2
QMU10366.1	6.3	18.2
QJS19712.1	6.3	18.2
BBB66560.1	6.7	18.1
BAM05388.1	6.7	18.1
QRO85657.1	7.0	18.0
CAB4110449.1	7.6	17.9
ATQ85708.1	7.7	17.9
QCR85684.1	7.7	17.9
QHG09886.1	7.8	17.9
AME00996.1	7.8	17.9
ATQ83785.1	7.8	17.9
ATR79139.1	7.8	17.9
ATW86277.1	7.8	17.9
ATC94665.1	8.0	17.8
AXT30384.1	8.0	17.8
ADG90469.1	8.7	17.7
QYJ16367.1	8.7	17.7
UAY37521.1	9.0	17.7
QGA18209.1	9.1	17.6
ATV27413.1	9.3	17.6
ATV34187.1	9.3	17.6
ATV39094.1	9.3	17.6
ATV41644.1	9.3	17.6
AUZ04302.2	9.8	17.5
UOO86930.1	9.8	17.5
